sno,occupation_title,nco_2015,nco_2004,division,subdivision,group,family,description,embed_data
1740,"Fisherman, Inland Water",6222.0100,6152.10,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Inland and Coastal Waters Fishery Workers,"Fisherman, Inland Water belongs to the Inland and Coastal Waters Fishery Workers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division.","The occupation Fisherman, Inland Water NCO 2015: 6222.0100, NCO 2004: 6152.10 belongs to division Skilled Agricultural, Forestry and Fishery Workers, subdivision Market-Oriented Skilled Agricultural Workers, group Fishery Workers, Hunters and Trappers, and family Inland and Coastal Waters Fishery Workers. Description: Fisherman, Inland Water belongs to the Inland and Coastal Waters Fishery Workers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division."
1741,"Fisherman, Estuaries, Coastal and Backwater",6222.0200,6152.20,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Inland and Coastal Waters Fishery Workers,"Fisherman, Estuaries, Coastal and Backwater belongs to the Inland and Coastal Waters Fishery Workers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division.","The occupation Fisherman, Estuaries, Coastal and Backwater NCO 2015: 6222.0200, NCO 2004: 6152.20 belongs to division Skilled Agricultural, Forestry and Fishery Workers, subdivision Market-Oriented Skilled Agricultural Workers, group Fishery Workers, Hunters and Trappers, and family Inland and Coastal Waters Fishery Workers. Description: Fisherman, Estuaries, Coastal and Backwater belongs to the Inland and Coastal Waters Fishery Workers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division."
1742,"Inland and Coastal Water Fishery Workers, Other",6222.9900,6152.90,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Inland and Coastal Waters Fishery Workers,"Inland and Coastal Water Fishery Workers, Other belongs to the Inland and Coastal Waters Fishery Workers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division.","The occupation Inland and Coastal Water Fishery Workers, Other NCO 2015: 6222.9900, NCO 2004: 6152.90 belongs to division Skilled Agricultural, Forestry and Fishery Workers, subdivision Market-Oriented Skilled Agricultural Workers, group Fishery Workers, Hunters and Trappers, and family Inland and Coastal Waters Fishery Workers. Description: Inland and Coastal Water Fishery Workers, Other belongs to the Inland and Coastal Waters Fishery Workers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division."
1743,"Fisherman, Deep Sea/Marine Capture Fisherman",6223.0101,6153.10,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Deep Sea Fishery Workers,"Fisherman, Deep Sea/Marine Capture Fisherman belongs to the Deep Sea Fishery Workers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division.","The occupation Fisherman, Deep Sea/Marine Capture Fisherman NCO 2015: 6223.0101, NCO 2004: 6153.10 belongs to division Skilled Agricultural, Forestry and Fishery Workers, subdivision Market-Oriented Skilled Agricultural Workers, group Fishery Workers, Hunters and Trappers, and family Deep Sea Fishery Workers. Description: Fisherman, Deep Sea/Marine Capture Fisherman belongs to the Deep Sea Fishery Workers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division."
1744,"Deep Sea Fishery Workers, Other",6223.9900,6153.90,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Deep Sea Fishery Workers,"Deep Sea Fishery Workers, Other belongs to the Deep Sea Fishery Workers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division.","The occupation Deep Sea Fishery Workers, Other NCO 2015: 6223.9900, NCO 2004: 6153.90 belongs to division Skilled Agricultural, Forestry and Fishery Workers, subdivision Market-Oriented Skilled Agricultural Workers, group Fishery Workers, Hunters and Trappers, and family Deep Sea Fishery Workers. Description: Deep Sea Fishery Workers, Other belongs to the Deep Sea Fishery Workers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division."
1745,Rock Pilot,6224.1200,6159.50,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Hunters and Trappers,"Rock Pilot belongs to the Hunters and Trappers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division.","The occupation Rock Pilot NCO 2015: 6224.1200, NCO 2004: 6159.50 belongs to division Skilled Agricultural, Forestry and Fishery Workers, subdivision Market-Oriented Skilled Agricultural Workers, group Fishery Workers, Hunters and Trappers, and family Hunters and Trappers. Description: Rock Pilot belongs to the Hunters and Trappers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division."
1746,Man Duck,6224.1300,6159.55,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Hunters and Trappers,"Man Duck belongs to the Hunters and Trappers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division.","The occupation Man Duck NCO 2015: 6224.1300, NCO 2004: 6159.55 belongs to division Skilled Agricultural, Forestry and Fishery Workers, subdivision Market-Oriented Skilled Agricultural Workers, group Fishery Workers, Hunters and Trappers, and family Hunters and Trappers. Description: Man Duck belongs to the Hunters and Trappers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division."
1747,Net Maker,6224.1400,6159.60,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Hunters and Trappers,"Net Maker belongs to the Hunters and Trappers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division.","The occupation Net Maker NCO 2015: 6224.1400, NCO 2004: 6159.60 belongs to division Skilled Agricultural, Forestry and Fishery Workers, subdivision Market-Oriented Skilled Agricultural Workers, group Fishery Workers, Hunters and Trappers, and family Hunters and Trappers. Description: Net Maker belongs to the Hunters and Trappers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division."
1748,"Hunters and Trappers, Other",6224.9900,6159.90,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Hunters and Trappers,"Hunters and Trappers, Other belongs to the Hunters and Trappers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division.","The occupation Hunters and Trappers, Other NCO 2015: 6224.9900, NCO 2004: 6159.90 belongs to division Skilled Agricultural, Forestry and Fishery Workers, subdivision Market-Oriented Skilled Agricultural Workers, group Fishery Workers, Hunters and Trappers, and family Hunters and Trappers. Description: Hunters and Trappers, Other belongs to the Hunters and Trappers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division."
1749,Trapper,6224.0300,6154.30,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Hunters and Trappers,"Trapper belongs to the Hunters and Trappers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division.","The occupation Trapper NCO 2015: 6224.0300, NCO 2004: 6154.30 belongs to division Skilled Agricultural, Forestry and Fishery Workers, subdivision Market-Oriented Skilled Agricultural Workers, group Fishery Workers, Hunters and Trappers, and family Hunters and Trappers. Description: Trapper belongs to the Hunters and Trappers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division."
1750,Tracker,6224.0400,6154.40,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Hunters and Trappers,"Tracker belongs to the Hunters and Trappers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division.","The occupation Tracker NCO 2015: 6224.0400, NCO 2004: 6154.40 belongs to division Skilled Agricultural, Forestry and Fishery Workers, subdivision Market-Oriented Skilled Agricultural Workers, group Fishery Workers, Hunters and Trappers, and family Hunters and Trappers. Description: Tracker belongs to the Hunters and Trappers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division."
1751,Fish Overseer,6224.0500,6159.10,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Hunters and Trappers,"Fish Overseer belongs to the Hunters and Trappers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division.","The occupation Fish Overseer NCO 2015: 6224.0500, NCO 2004: 6159.10 belongs to division Skilled Agricultural, Forestry and Fishery Workers, subdivision Market-Oriented Skilled Agricultural Workers, group Fishery Workers, Hunters and Trappers, and family Hunters and Trappers. Description: Fish Overseer belongs to the Hunters and Trappers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division."
1752,Fisheries Inspector,6224.0600,6159.20,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Hunters and Trappers,"Fisheries Inspector belongs to the Hunters and Trappers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division.","The occupation Fisheries Inspector NCO 2015: 6224.0600, NCO 2004: 6159.20 belongs to division Skilled Agricultural, Forestry and Fishery Workers, subdivision Market-Oriented Skilled Agricultural Workers, group Fishery Workers, Hunters and Trappers, and family Hunters and Trappers. Description: Fisheries Inspector belongs to the Hunters and Trappers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division."
1753,"Fieldman, Fish",6224.0700,6159.25,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Hunters and Trappers,"Fieldman, Fish belongs to the Hunters and Trappers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division.","The occupation Fieldman, Fish NCO 2015: 6224.0700, NCO 2004: 6159.25 belongs to division Skilled Agricultural, Forestry and Fishery Workers, subdivision Market-Oriented Skilled Agricultural Workers, group Fishery Workers, Hunters and Trappers, and family Hunters and Trappers. Description: Fieldman, Fish belongs to the Hunters and Trappers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division."
1754,Yard Officer,6224.0800,6159.30,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Hunters and Trappers,"Yard Officer belongs to the Hunters and Trappers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division.","The occupation Yard Officer NCO 2015: 6224.0800, NCO 2004: 6159.30 belongs to division Skilled Agricultural, Forestry and Fishery Workers, subdivision Market-Oriented Skilled Agricultural Workers, group Fishery Workers, Hunters and Trappers, and family Hunters and Trappers. Description: Yard Officer belongs to the Hunters and Trappers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division."
1755,Fish Hatcher,6224.0900,6159.35,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Hunters and Trappers,"Fish Hatcher belongs to the Hunters and Trappers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division.","The occupation Fish Hatcher NCO 2015: 6224.0900, NCO 2004: 6159.35 belongs to division Skilled Agricultural, Forestry and Fishery Workers, subdivision Market-Oriented Skilled Agricultural Workers, group Fishery Workers, Hunters and Trappers, and family Hunters and Trappers. Description: Fish Hatcher belongs to the Hunters and Trappers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division."
1756,Fish Curer,6224.1000,6159.40,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Hunters and Trappers,"Fish Curer belongs to the Hunters and Trappers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division.","The occupation Fish Curer NCO 2015: 6224.1000, NCO 2004: 6159.40 belongs to division Skilled Agricultural, Forestry and Fishery Workers, subdivision Market-Oriented Skilled Agricultural Workers, group Fishery Workers, Hunters and Trappers, and family Hunters and Trappers. Description: Fish Curer belongs to the Hunters and Trappers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division."
1757,Fish Meal Maker,6224.1100,6159.45,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Hunters and Trappers,"Fish Meal Maker belongs to the Hunters and Trappers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division.","The occupation Fish Meal Maker NCO 2015: 6224.1100, NCO 2004: 6159.45 belongs to division Skilled Agricultural, Forestry and Fishery Workers, subdivision Market-Oriented Skilled Agricultural Workers, group Fishery Workers, Hunters and Trappers, and family Hunters and Trappers. Description: Fish Meal Maker belongs to the Hunters and Trappers family under Fishery Workers, Hunters and Trappers group in the Skilled Agricultural, Forestry and Fishery Workers division."
1758,Tree Trimmer and Pruner,6310.0100,6200.10,"Skilled Agricultural, Forestry and Fishery Workers","Subsistence Farmers, Fishers, Hunters and Gatherers",Subsistence Crop Farmers,Subsistence Crop Farmers,"Tree Trimmer and Pruner belongs to the Subsistence Crop Farmers family under Subsistence Crop Farmers group in the Skilled Agricultural, Forestry and Fishery Workers division.","The occupation Tree Trimmer and Pruner NCO 2015: 6310.0100, NCO 2004: 6200.10 belongs to division Skilled Agricultural, Forestry and Fishery Workers, subdivision Subsistence Farmers, Fishers, Hunters and Gatherers, group Subsistence Crop Farmers, and family Subsistence Crop Farmers. Description: Tree Trimmer and Pruner belongs to the Subsistence Crop Farmers family under Subsistence Crop Farmers group in the Skilled Agricultural, Forestry and Fishery Workers division."
1759,"Subsistence Crop Farmers, Others",6310.9900,6200.90,"Skilled Agricultural, Forestry and Fishery Workers","Subsistence Farmers, Fishers, Hunters and Gatherers",Subsistence Crop Farmers,Subsistence Crop Farmers,"Subsistence Crop Farmers, Others belongs to the Subsistence Crop Farmers family under Subsistence Crop Farmers group in the Skilled Agricultural, Forestry and Fishery Workers division.","The occupation Subsistence Crop Farmers, Others NCO 2015: 6310.9900, NCO 2004: 6200.90 belongs to division Skilled Agricultural, Forestry and Fishery Workers, subdivision Subsistence Farmers, Fishers, Hunters and Gatherers, group Subsistence Crop Farmers, and family Subsistence Crop Farmers. Description: Subsistence Crop Farmers, Others belongs to the Subsistence Crop Farmers family under Subsistence Crop Farmers group in the Skilled Agricultural, Forestry and Fishery Workers division."
1760,Hut Maker,7111.0100,7121.10,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,House Builders,Hut Maker belongs to the House Builders family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.,"The occupation Hut Maker NCO 2015: 7111.0100, NCO 2004: 7121.10 belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family House Builders. Description: Hut Maker belongs to the House Builders family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1761,Thatcher,7111.0200,7121.20,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,House Builders,Thatcher belongs to the House Builders family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.,"The occupation Thatcher NCO 2015: 7111.0200, NCO 2004: 7121.20 belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family House Builders. Description: Thatcher belongs to the House Builders family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1762,"Builders, Traditional Materials, Other",7111.9900,7121.90,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,House Builders,"Builders, Traditional Materials, Other belongs to the House Builders family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.","The occupation Builders, Traditional Materials, Other NCO 2015: 7111.9900, NCO 2004: 7121.90 belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family House Builders. Description: Builders, Traditional Materials, Other belongs to the House Builders family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1763,"Bricklayerers, Other",7112.9900,7122.90,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Bricklayers and Related Workers,"Bricklayerers, Other belongs to the Bricklayers and Related Workers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.","The occupation Bricklayerers, Other NCO 2015: 7112.9900, NCO 2004: 7122.90 belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family Bricklayers and Related Workers. Description: Bricklayerers, Other belongs to the Bricklayers and Related Workers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1764,Stone Mason,7112.0100,7122.10,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Bricklayers and Related Workers,Stone Mason belongs to the Bricklayers and Related Workers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.,"The occupation Stone Mason NCO 2015: 7112.0100, NCO 2004: 7122.10 belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family Bricklayers and Related Workers. Description: Stone Mason belongs to the Bricklayers and Related Workers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1765,"Bricklayerer, Construction",7112.0200,7122.20,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Bricklayers and Related Workers,"Bricklayerer, Construction belongs to the Bricklayers and Related Workers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.","The occupation Bricklayerer, Construction NCO 2015: 7112.0200, NCO 2004: 7122.20 belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family Bricklayers and Related Workers. Description: Bricklayerer, Construction belongs to the Bricklayers and Related Workers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1766,Plumbing Mason,7112.0201,,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Bricklayers and Related Workers,Plumbing Mason belongs to the Bricklayers and Related Workers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.,"The occupation Plumbing Mason NCO 2015: 7112.0201, NCO 2004: nan belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family Bricklayers and Related Workers. Description: Plumbing Mason belongs to the Bricklayers and Related Workers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1767,"Bricklayer, Refractory",7112.0300,7122.30,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Bricklayers and Related Workers,"Bricklayer, Refractory belongs to the Bricklayers and Related Workers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.","The occupation Bricklayer, Refractory NCO 2015: 7112.0300, NCO 2004: 7122.30 belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family Bricklayers and Related Workers. Description: Bricklayer, Refractory belongs to the Bricklayers and Related Workers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1768,Paviour,7112.0400,7122.40,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Bricklayers and Related Workers,Paviour belongs to the Bricklayers and Related Workers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.,"The occupation Paviour NCO 2015: 7112.0400, NCO 2004: 7122.40 belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family Bricklayers and Related Workers. Description: Paviour belongs to the Bricklayers and Related Workers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1769,Tar Supervisor,7112.0500,7122.50,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Bricklayers and Related Workers,Tar Supervisor belongs to the Bricklayers and Related Workers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.,"The occupation Tar Supervisor NCO 2015: 7112.0500, NCO 2004: 7122.50 belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family Bricklayers and Related Workers. Description: Tar Supervisor belongs to the Bricklayers and Related Workers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1770,Assistant Mason,7112.0601,,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Bricklayers and Related Workers,Assistant Mason belongs to the Bricklayers and Related Workers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.,"The occupation Assistant Mason NCO 2015: 7112.0601, NCO 2004: nan belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family Bricklayers and Related Workers. Description: Assistant Mason belongs to the Bricklayers and Related Workers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1771,"Stone Cutter, Hand",7113.0200,7113.20,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,"Stonemasons, Stone Cutters, Splitters and Carvers","Stone Cutter, Hand belongs to the Stonemasons, Stone Cutters, Splitters and Carvers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.","The occupation Stone Cutter, Hand NCO 2015: 7113.0200, NCO 2004: 7113.20 belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family Stonemasons, Stone Cutters, Splitters and Carvers. Description: Stone Cutter, Hand belongs to the Stonemasons, Stone Cutters, Splitters and Carvers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1772,"Stone Dresser, Hand",7113.0300,7113.30,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,"Stonemasons, Stone Cutters, Splitters and Carvers","Stone Dresser, Hand belongs to the Stonemasons, Stone Cutters, Splitters and Carvers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.","The occupation Stone Dresser, Hand NCO 2015: 7113.0300, NCO 2004: 7113.30 belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family Stonemasons, Stone Cutters, Splitters and Carvers. Description: Stone Dresser, Hand belongs to the Stonemasons, Stone Cutters, Splitters and Carvers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1773,Stone Carver,7113.0400,7113.40,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,"Stonemasons, Stone Cutters, Splitters and Carvers","Stone Carver belongs to the Stonemasons, Stone Cutters, Splitters and Carvers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.","The occupation Stone Carver NCO 2015: 7113.0400, NCO 2004: 7113.40 belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family Stonemasons, Stone Cutters, Splitters and Carvers. Description: Stone Carver belongs to the Stonemasons, Stone Cutters, Splitters and Carvers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1774,"Stone Polisher, Hand",7113.0500,7113.50,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,"Stonemasons, Stone Cutters, Splitters and Carvers","Stone Polisher, Hand belongs to the Stonemasons, Stone Cutters, Splitters and Carvers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.","The occupation Stone Polisher, Hand NCO 2015: 7113.0500, NCO 2004: 7113.50 belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family Stonemasons, Stone Cutters, Splitters and Carvers. Description: Stone Polisher, Hand belongs to the Stonemasons, Stone Cutters, Splitters and Carvers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1775,"Stone Splitters, Cutters and Carvers, Other",7113.9900,7113.90,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,"Stonemasons, Stone Cutters, Splitters and Carvers","Stone Splitters, Cutters and Carvers, Other belongs to the Stonemasons, Stone Cutters, Splitters and Carvers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.","The occupation Stone Splitters, Cutters and Carvers, Other NCO 2015: 7113.9900, NCO 2004: 7113.90 belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family Stonemasons, Stone Cutters, Splitters and Carvers. Description: Stone Splitters, Cutters and Carvers, Other belongs to the Stonemasons, Stone Cutters, Splitters and Carvers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1776,Concrete Moulder,7114.0100,7123.10,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,"Concrete Placers, Concrete Finishers and Related Workers","Concrete Moulder belongs to the Concrete Placers, Concrete Finishers and Related Workers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.","The occupation Concrete Moulder NCO 2015: 7114.0100, NCO 2004: 7123.10 belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family Concrete Placers, Concrete Finishers and Related Workers. Description: Concrete Moulder belongs to the Concrete Placers, Concrete Finishers and Related Workers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1777,Cement Finisher,7114.0200,7123.20,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,"Concrete Placers, Concrete Finishers and Related Workers","Cement Finisher belongs to the Concrete Placers, Concrete Finishers and Related Workers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.","The occupation Cement Finisher NCO 2015: 7114.0200, NCO 2004: 7123.20 belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family Concrete Placers, Concrete Finishers and Related Workers. Description: Cement Finisher belongs to the Concrete Placers, Concrete Finishers and Related Workers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
